"Name", "PaymentTerms", "PaymentTermsDays", "SalesPerson", "FullAddress", "FullShipAddress", "UseForShipping", "LastMethod", "OldestDue", "Balance", "LastInvoice"
"69TH FASHION","2","10","STU SNIDER","39 W.FORDHAM RD BRONX, N.Y. 10468","39 W.FORDHAM RD BRONX, N.Y. 10468","1","5","","0","11635"
"A & A WEDDING","2","30","STU SNIDER","237-07 LINDEN BLVD ELMONT, NY 11003 ","237-07 LINDEN BLVD ELMONT, NY 11003 ","1","5","","0","10740"
"A & E","2","30","STU SNIDER","28-01 23RD AVE ASTORIA, NY 11105","28-01 23RD AVE ASTORIA, NY 11105","1","5","","0","10878"
"ABE'S TAILOR","2","30","Gideon Tarrash","1013 6TH AVE N EW YORK, N.Y. 10018","1013 6TH AVE N EW YORK, N.Y. 10018","1","5","2014-06-22","4400","11621"
"ABIGAIL'S BOUTIQUE","2","10","STU SNIDER","1091 FRONT ST UNIONDALE, N.Y. 11553","1091 FRONT ST UNIONDALE, N.Y. 11553","1","5","2014-08-28","70400","11660"
"ADVANCE","2","30","STU SNIDER","234 SUNRISE HIGHWAY ROCKVILLE CENTRE, NY 11570","234 SUNRISE HIGHWAY ROCKVILLE CENTRE, NY 11570","1","5","2014-06-11","9700","11650"
"ALI'S CREATION","2","30","STU SNIDER","231 TROY AVE BROOKLYN, NY 11213","231 TROY AVE BROOKLYN, NY 11213","1","5","","0","11392"
"ANTIQUE COSTUME","2","10","STU SNIDER","709 MAIN ST PORT JEFFERSON, N.Y. 11777","709 MAIN ST PORT JEFFERSON, N.Y. 11777","1","5","","0","10090"
"ARTHUR'S FASHION","2","30","STU SNIDER","2401 ARTHUR AVE BRONX, N.Y. 10458","2401 ARTHUR AVE BRONX, N.Y. 10458","1","5","","0","11535","","","","","","",""
"BEST","2","30","STU SNIDER","194-20 NORTHERN BLVD FLUSHING, NY 11358","194-20 NORTHERN BLVD FLUSHING, NY 11358","1","5","","0","10342"
"BRADFORD TAILORING & TUX","2","10","STU SNIDER","7 LAUREL PL NEWARK, NJ 07106","7 LAUREL PL NEWARK, NJ 07106","1","5","","0","11307"
"BRIDAL & TUX","2","10","STU SNIDER","99 RTE 25A SHOREHAM SHOPPING CENTER SHOREHAM, NY 11786","99 RTE 25A SHOREHAM SHOPPING CENTER SHOREHAM, NY 11786","1","5","","0","11031"
"C.E. ROTH","2","10","STU SNIDER","208-210 NO. 10TH ST ALLENTOWN, PA 18102","208-210 NO. 10TH ST ALLENTOWN, PA 18102","1","5","","0","11594"
"CARINA'S BOUTIQUE","2","10","STU SNIDER","11-24 154TH ST WHITESTONE, N.Y. 11357","11-24 154TH ST WHITESTONE, N.Y. 11357","1","5","","0","11396"
"CARL ANTHONY","2","10","STU SNIDER","1460 PARK AVE CRANSTON, R.I. 02920","1460 PARK AVE CRANSTON, R.I. 02920","1","5","","0","11119"
"CAROL'S BRIDAL","2","10","STU SNIDER","773 GRAND ST BROOKLYN, N.Y. 11211","773 GRAND ST BROOKLYN, N.Y. 11211","1","5","2014-08-28","47700","11659"
"CHARISOL BRIDAL","2","10","STU SNIDER","214-07 42ND AVE 2ND FLR BAYSIDE, NY 11355","214-07 42ND AVE 2ND FLR BAYSIDE, NY 11355","1","5","2014-06-19","16000","11469"
"CHEVY'S MENS SHOP","2","10","STU SNIDER","2077 86TH ST BROOKLYN, N.Y. 11214","2077 86TH ST BROOKLYN, N.Y. 11214","1","5","","0","11439"
"CHIC BOUTIQUE","2","10","STU SNIDER","100 MAIN ST GALLERIA MALL WHITE PLAINS, NY 10601","100 MAIN ST GALLERIA MALL WHITE PLAINS, NY 10601","1","5","","0","11570","","","","","","",""
"CHOPPA & SONS","2","10","STU SNIDER","1020 CENTRAL AVE ALBANY, NY 12205","1020 CENTRAL AVE ALBANY, NY 12205","1","5","","0","11502"
"COZY FORMALS","2","10","STU SNIDER","695 PASSAIC AVE NUTLEY, NJ 07110","695 PASSAIC AVE NUTLEY, NJ 07110","1","5","","0","10134"
"D'FIESTA","2","10","STU SNIDER","741 COMMACK RD BRENTWOOD, NY 11717","741 COMMACK RD BRENTWOOD, NY 11717","1","5","","0","11646"
"D'YARIX PARTY","2","10","STU SNIDER","4770 BROADWAY NEW YORK, N.Y. 10040","4770 BROADWAY NEW YORK, N.Y. 10040","1","5","","0","10968"
"DELUXE FORMALS","2","30","STU SNIDER","1280 MAIN AVE CLIFTON, NJ 07011","1280 MAIN AVE CLIFTON, NJ 07011","1","5","","0","11440"
"DESTINY LIMOS","2","30","STU SNIDER","18-18 130TH ST COLLEGE POINT, N.Y.11356","18-18 130TH ST COLLEGE POINT, N.Y.11356","1","5","","0","11608"
"DIRE FORMAL WEAR","2","10","STU SNIDER","315 FRANKLIN AVE FRANKLIN SQUARE, N.Y. 11010","315 FRANKLIN AVE FRANKLIN SQUARE, N.Y. 11010","1","5","2014-08-28","1900","11655"
"DK BRIDAL","2","10","STU SNIDER","211-79 JAMAICA AVE QUEENS VILLAGE, NY 11428","211-79 JAMAICA AVE QUEENS VILLAGE, NY 11428","1","5","","0","11633"
"DMD BRIDALS","2","10","STU SNIDER","677 BROADWAY BROOKLYN, NY 11206","677 BROADWAY BROOKLYN, NY 11206","1","5","2013-06-08","5000","10447"
"DOUBLE P","2","30","STU SNIDER","2474 MAIN ST BRIDGEPORT, CT 06606","2474 MAIN ST BRIDGEPORT, CT 06606","1","5","2014-08-09","5500","11552"
"DOWNTOWN CLEANERS","ALEXANDER MEKHOYUDOV","ALEX","84 LIVINGTON  BROOKLYN, NY 11201","","","","","","718-403-9300","","","","","1","84 LIVINGTON  BROOKLYN, NY 11201"
"EDITH TUXEDOS","2","30","STU SNIDER","9 SOUTH MAIN ST FOND DU LACK, WI 54937","9 SOUTH MAIN ST FOND DU LACK, WI 54937","1","5","","0","10800"
"EDWARD ALAN (COMMACK)","2","10","STU SNIDER","102 JERICHO TPKE MAYFAIR SHOPP CTR COMMACK, NY 11725","102 JERICHO TPKE MAYFAIR SHOPP CTR COMMACK, NY 11725","1","5","2014-08-14","7300","11620","","","","","","","","","","","",""
"EDWARD ALAN (PLAIN)","2","10","STU SNIDER","343A SOUTH OYSTER BAY RD PLAINVIEW, NY 11803","343A SOUTH OYSTER BAY RD PLAINVIEW, NY 11803","1","5","","0","10214"
"EDWARD ARCHER","2","10","STU SNIDER","85 MAIN ST SOUTHAMPTON, NY 11968","85 MAIN ST SOUTHAMPTON, NY 11968","1","5","2014-08-14","13100","11644"
"EDWARD TUNICK","2","30","STU SNIDER","340 HEIGHTS RD NOROTON HEIGHTS SHOPPING CTR DARIEN, CT 06820","340 HEIGHTS RD NOROTON HEIGHTS SHOPPING CTR DARIEN, CT 06820","1","5","","0","11272"
"EISENBERG & EISENBERG","2","10","STU SNIDER","16 WEST 17TH ST NEW YORK, N.Y. 10011","16 WEST 17TH ST NEW YORK, N.Y. 10011","1","5","","0","10723"
"ELEGANT","2","10","STU SNIDER","314 SACKETT ST BROOKLYN, NY 11231","314 SACKETT ST BROOKLYN, NY 11231","1","5","2014-05-25","13900","11466"
"ENCORE SPORTS","2","30","STU SNIDER","11 CUSHMAN RD SCARSDALE, NY 10583","11 CUSHMAN RD SCARSDALE, NY 10583","1","5","","0","11510"
"ESQUIRE","2","30","STU SNIDER","30-51 STEINWAY ST ASTORIA, N.Y. 11103","30-51 STEINWAY ST ASTORIA, N.Y. 11103","1","5","","0","11609"
"EUOVIAR","2","10","STU SNIDER","67-35 MYRTLE AVE GLENDALE, NY 11385","67-35 MYRTLE AVE GLENDALE, NY 11385","1","5","","0","10146"
"EXLUSIVE FOR U","2","30","STU SNIDER","2092 WHITE PLAINS RD BRONX, NY 10462","2092 WHITE PLAINS RD BRONX, NY 10462","1","5","","0","10278"
"EZIE'S MENS WEAR","2","10","STU SNIDER","60-39 MYRTLE AVE RIDGEWOOD, NY 11385","60-39 MYRTLE AVE RIDGEWOOD, NY 11385","1","5","2014-02-02","4890","11035"
"FASHION INC","2","30","STU SNIDER","51 E.BROADWAY NEW YORK, N.Y. 10002","51 E.BROADWAY NEW YORK, N.Y. 10002","1","5","","0","11323"
"FERNANDO'S","2","10","STU SNIDER","530 BROADWAY MASSAPEQUA, NY 11758","530 BROADWAY MASSAPEQUA, NY 11758","1","5","","0","11460"
"FLOR'S","2","10","STU SNIDER","559 W.172ND ST APT 21A NEW YORK, NY 10032","559 W.172ND ST APT 21A NEW YORK, NY 10032","1","5","","0","11115"
"FORESTO'S","2","30","STU SNIDER","309 WILLIS AVE MINEOLA, N.Y. 11501","309 WILLIS AVE MINEOLA, N.Y. 11501","1","5","2014-09-10","-4700","11638"
"FORMAL KNIGHT","2","30","STU SNIDER","699 ACORN ST DEER PARK, NY 11729","699 ACORN ST DEER PARK, NY 11729","1","5","","0","11046"
"FORMAL WORLD","2","30","STU SNIDER","2791 RICHMOND AVE STATEN ISLAND, NY 10314","2791 RICHMOND AVE STATEN ISLAND, NY 10314","1","5","","0","11640"
"FOTO & VIDEO","2","10","STU SNIDER","1114 SUFFOLK AVE BRENTWOOD, N.Y. 11717","1114 SUFFOLK AVE BRENTWOOD, N.Y. 11717","1","5","","0","10924"
"FRANTZ PHOTO","2","10","STU SNIDER","843 FRANKLIN AVE BROOKLYN, NY 11225 ","843 FRANKLIN AVE BROOKLYN, NY 11225 ","1","5","","0","10562"
"FUTIA FORMALS","2","10","STU SNIDER","1289 CENTRAL AVE ALBANY, NY 12206","1289 CENTRAL AVE ALBANY, NY 12206","1","5","","0","10622","","","","","","","","","","","",""
"GENESIS","2","10","STU SNIDER","97 CLINTON ST NEW YORK, NY 10002","97 CLINTON ST NEW YORK, NY 10002","1","5","","0","10401"
"GIANNI'S MENS WEAR","2","30","STU SNIDER","4181 MERRICK RD MASSAPEQUA, NY 11758","4181 MERRICK RD MASSAPEQUA, NY 11758","1","5","","0","11189"
"GLAMOUR PHOTO STUDIO","2","10","STU SNIDER","109-19 ROCKAWAY BLVD SOUTH OZONE PARK, N.Y. 11420","109-19 ROCKAWAY BLVD SOUTH OZONE PARK, N.Y. 11420","1","5","","0","11461","","","","","","","","","","","",""
"HENYI DECORATIONS","2","10","STU SNIDER","88-24 76TH ST WOODHAVEN, N.Y. 11421","88-24 76TH ST WOODHAVEN, N.Y. 11421","1","5","","0","11340"
